Sample,Temperature_Treatment,Nutrient_Treatment,Microbiome_Treatment,Delta_C,Total_C,Delta_N,Total_N,CN_Ratio
92,Ambient,MS,High,-17,23.55,8.51,2.58,9.132047047
93,Ambient,MS,High,-15.1,110.49,12.06,8.78,12.59081246
94,Ambient,MS,High,-16.33,151.27,12.09,12.73,11.88172458
95,Ambient,MS,High,-15.31,137.98,11.79,10.76,12.82286622
96,Elevated,MS,High,-18.34,320.52,9.94,16.34,19.61501764
97,Elevated,MS,High,-14.92,154.52,11.45,9.08,17.02447208
98,Elevated,MS,High,-14.39,116.02,9.84,8.63,13.43815091
99,Elevated,MS,High,-15.32,237.13,10.5,13.72,17.28045864
100,Elevated,MS,High,-18.55,68.73,10.29,4.26,16.12543966
101,Ambient,EU,High,-13.34,258.47,15.71,19.55,13.2186566
102,Ambient,EU,High,-14.01,187.13,14.39,18.77,9.967276922
103,Ambient,EU,High,-14.3,373.79,15.56,29.5,12.66950762
104,Ambient,EU,High,-13.8,233.6,15.57,20.91,11.17320618
105,Ambient,EU,High,-13.81,248.69,15.26,25.85,9.620749265
106,Elevated,EU,High,-14,231.57,14.35,20.56,11.26041944
107,Elevated,EU,High,-13.6,575.34,14.84,37.19,15.4723958
108,Elevated,EU,High,-14.17,192.07,11.28,19.19,10.01103269
109,Elevated,EU,High,-14.33,174.39,14.18,14.98,11.6417934
110,Elevated,EU,High,-13.9,403.07,13.95,32.97,12.2238736
111,Ambient,HE,High,-13.08,117.75,15.47,16.36,7.195710025
112,Ambient,HE,High,-13.9,404.45,15.62,40.7,9.936855042
114,Ambient,HE,High,-12.75,230.93,15.39,24.02,9.612562952
115,Ambient,HE,High,-13.89,251.09,15.45,23.24,10.80214722
116,Elevated,HE,High,-15.67,53.18,14.9,7.04,7.556582779
117,Elevated,HE,High,-15.46,219.78,15.23,22.13,9.930513175
118,Elevated,HE,High,-14.36,375.34,15.52,21.93,17.11890669
119,Elevated,HE,High,-13.84,126.04,15.57,16.3,7.732805026
120,Elevated,HE,High,-14.11,79.5,14.85,14.19,5.603707213
